song_id,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
37,Hayley Kiyoko,Girls Like Girls,0.611,0.701,6,-5.235,1,0.0248,0.0109,9.83E-06,0.0994,0.604,142.027,229656
38,Taylor Swift,...Ready For It?,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,208187
39,Lauren Jauregui,More Than That,0.595,0.442,4,-12.899,0,0.282,0.0709,0,0.139,0.297,48.702,158733
40,Cashmere Cat,Quit (feat. Ariana Grande),0.44,0.413,0,-7.365,0,0.0407,0.105,3.40E-05,0.0997,0.141,86.911,258188
41,Katy Perry,Bon appétit,0.799,0.794,6,-5.834,1,0.0628,0.13,8.23E-05,0.221,0.524,106.031,227813
42,Little Mix,Woman Like Me (feat. Nicki Minaj),0.754,0.854,5,-3.449,0,0.0608,0.177,0,0.0808,0.8,75.002,229720
43,ZAYN,Dusk Till Dawn - Radio Edit,0.258,0.437,11,-6.593,0,0.039,0.101,1.27E-06,0.106,0.0967,180.043,239000
44,One Direction,They Don't Know About Us,0.512,0.754,0,-6.031,1,0.055,0.135,0,0.0881,0.336,147.89,201693
45,Evan Blum,Camila Cabello,0.682,0.46,9,-8.935,1,0.0373,0.395,6.59E-06,0.0741,0.8,166.125,96705
46,Ariana Grande,God is a woman,0.602,0.658,1,-5.934,1,0.0558,0.0233,6.00E-05,0.237,0.268,145.031,197547
47,Lady Gaga,The Cure,0.697,0.506,8,-4.863,1,0.0325,0.0792,0,0.0893,0.516,100.002,211364
48,Selena Gomez,Fetish (feat. Gucci Mane),0.708,0.618,2,-4.424,1,0.0592,0.0204,6.81E-06,0.062,0.265,123.013,186113
49,Demi Lovato,Sexy Dirty Love,0.59,0.748,4,-4.448,0,0.249,0.000957,2.19E-05,0.0552,0.831,105.114,213173
50,Justin Bieber,Friends (with BloodPop®),0.743,0.733,8,-5.337,1,0.0375,0.00402,0,0.304,0.622,104.977,189467
51,James Arthur,Say You Won't Let Go,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,211467
52,Iggy Azalea,Switch,0.914,0.63,4,-6.158,0,0.0557,0.0028,0.00921,0.391,0.376,109.993,189600
53,RedOne,Boom Boom,0.749,0.759,7,-8.065,0,0.0451,0.00453,0,0.202,0.584,110.004,248364
54,Ariana Grande,thank u  next,0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,207320
55,Little Mix,Secret Love Song (feat. Jason Derulo),0.534,0.642,9,-3.971,1,0.0504,0.259,0,0.29,0.131,92.963,249813
56,Katy Perry,Swish Swish,0.839,0.705,5,-5.194,0,0.0445,0.0184,1.77E-05,0.102,0.575,119.954,242520
57,Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),0.63,0.53,0,-7.259,1,0.0434,0.4,0,0.177,0.417,108.038,225053
58,Chris Jauregui,Next Life,0.676,0.492,0,-7.856,0,0.0444,0.372,0,0.115,0.579,84.994,183589
59,Gia Woods,Only a Girl,0.627,0.472,4,-4.083,0,0.0588,0.144,0,0.0851,0.188,168.017,213159
60,Hayley Kiyoko,Cliffs Edge,0.689,0.601,0,-6.584,1,0.0464,0.00196,0.000504,0.104,0.654,79.982,213261
61,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),0.671,0.672,0,-3.094,0,0.0688,0.0329,0,0.118,0.632,97.98,204173
62,Ariana Grande,breathin,0.568,0.656,8,-5.413,1,0.0433,0.0211,1.37E-05,0.213,0.364,100.049,198160
63,Silk City,Electricity (with Dua Lipa),0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33E-06,0.338,0.505,118.159,238173
64,Zara Larsson,Ruin My Life,0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,190932
65,Miley Cyrus,Mother's Daughter,0.681,0.865,1,-4.132,0,0.0594,0.00464,0.00169,0.149,0.528,91.017,219080
66,Taylor Swift,Gorgeous,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48E-06,0.213,0.451,92.027,209680
67,Rihanna,Love On The Brain,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08E-05,0.0789,0.378,172.006,224000
68,Bea Miller,yes girl,0.546,0.719,5,-4.947,0,0.0306,0.0628,0,0.225,0.234,99.006,231391
69,Louis Tomlinson,Just Like You,0.703,0.628,0,-5.914,1,0.203,0.364,0,0.384,0.471,138.032,205217
70,Sabrina Carpenter,Sue Me,0.46,0.809,6,-5.415,1,0.326,0.0422,5.04E-05,0.138,0.609,157.184,179227
71,The Veronicas,On Your Side,0.593,0.78,7,-5.876,0,0.0736,0.0871,0,0.202,0.359,99.974,171693
72,Beatrice Eli,Girls,0.619,0.788,6,-5.368,1,0.0297,0.142,0,0.0699,0.626,103,183653
73,Jen Foster,I Didn't Just Kiss Her,0.713,0.634,7,-6.657,0,0.0788,0.0527,0,0.0614,0.536,76,181733
74,FLETCHER,Wasted Youth,0.465,0.575,11,-8.843,1,0.0645,0.0934,6.58E-05,0.11,0.161,152.009,218960
75,King Princess,Pussy Is God,0.739,0.621,11,-6.929,0,0.238,0.049,0.00369,0.0718,0.462,85.969,205533
76,ZAYN,No Candle No Light (feat. Nicki Minaj),0.619,0.752,5,-4.22,0,0.0496,0.0171,0.000107,0.0949,0.462,122.133,195027
77,Elektra,I Don´t Do Boys,0.721,0.654,7,-5.998,0,0.0925,0.138,0,0.126,0.437,140.029,169459
78,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36E-06,0.388,0.244,114.066,217467
79,Becky G,LBD,0.874,0.584,5,-4.898,0,0.0353,0.32,2.05E-05,0.134,0.601,122.007,203504
80,blackbear,Idfc,0.63,0.5,1,-8.755,0,0.0611,0.611,4.04E-05,0.114,0.315,144.871,245172
81,Kelly Rowland,Kelly,0.583,0.633,6,-8.034,0,0.34,0.0284,0,0.0697,0.501,131.981,181733
82,Sizzy Rocket,Bestie,0.785,0.673,9,-6.288,1,0.04,0.0447,0,0.0848,0.626,123.019,209893
83,Holly Miranda,All I Want Is to Be Your Girl,0.468,0.964,0,-3.061,1,0.076,0.244,0,0.147,0.271,81.496,155027
84,girl in red,i wanna be your girlfriend,0.54,0.381,7,-14.323,1,0.0347,0.0217,0.000687,0.305,0.343,155.882,204991
85,Blind Fury,I Want Her (feat. Georgia Harris),0.689,0.752,7,-4.337,0,0.046,0.00215,1.75E-06,0.185,0.626,130.046,182753
86,Jen Foster,She,0.592,0.762,7,-6.43,1,0.0236,0.497,1.57E-06,0.274,0.384,95.022,250800
87,Zolita,Explosion,0.543,0.361,2,-8.822,0,0.0329,0.805,0.0269,0.112,0.0934,120.117,204095
88,The Blow,"""Come On Petunia""",0.888,0.55,6,-7.711,1,0.115,0.291,0.0871,0.0961,0.788,109.998,226787
89,The Butchies,She's so Lovely,0.485,0.893,9,-4.013,1,0.0432,0.00706,6.29E-06,0.0953,0.797,158.919,202293
90,Various Artists,I Think She Knows,0.694,0.55,4,-9.469,0,0.0319,0.127,0.000773,0.168,0.371,114.966,184813
91,King Princess,Talia,0.401,0.507,2,-7.001,1,0.089,0.549,0,0.164,0.236,180.159,207720
92,Ani DiFranco,If It Isn't Her,0.698,0.484,0,-13.79,0,0.0717,0.795,1.93E-05,0.176,0.701,120.405,237827
93,Luna Blake,Horizon,0.38,0.414,0,-9.781,1,0.0371,0.263,0.0113,0.0736,0.222,116.319,203880
94,Shura,What's It Gonna Be?,0.567,0.928,8,-5.533,1,0.0616,0.118,1.04E-05,0.347,0.698,171.973,214754
95,Taylor Swift,Look What You Made Me Do,0.766,0.709,9,-6.471,0,0.123,0.204,1.41E-05,0.126,0.506,128.07,211853
96,Lost Kings,Look At Us Now,0.637,0.851,11,-3.501,1,0.0433,0.00211,0.0012,0.161,0.39,132.929,225687
97,Imagine Dragons,Whatever It Takes,0.672,0.655,10,-5.021,0,0.0311,0.0362,0,0.117,0.556,134.945,201240
98,Selena Gomez,Kill Em With Kindness,0.757,0.884,10,-5.488,0,0.0404,0.00795,5.87E-05,0.0973,0.398,120.012,217907
99,Zolita,Holy,0.731,0.492,2,-10.504,1,0.12,0.0255,8.52E-05,0.106,0.373,184.03,182073
100,Various Artists,I Need a Woman to Love,0.405,0.703,4,-7.885,0,0.0417,0.00702,5.44E-05,0.0728,0.734,183.897,268840
101,Various Artists,I Need a Woman to Love,0.405,0.703,4,-7.885,0,0.0417,0.00702,5.44E-05,0.0728,0.734,183.897,268840
102,Mary Lambert,Know Your Name,0.734,0.771,10,-4.859,1,0.0329,0.0127,0.000165,0.0827,0.796,145.942,244933
103,Mary Lambert,Know Your Name,0.734,0.771,10,-4.859,1,0.0329,0.0127,0.000165,0.0827,0.796,145.942,244933
104,Mary Lambert,Know Your Name,0.734,0.771,10,-4.859,1,0.0329,0.0127,0.000165,0.0827,0.796,145.942,244933
105,King Princess,1950,0.6,0.535,4,-7.043,1,0.107,0.648,4.70E-06,0.162,0.269,71.912,225133
106,Jasmine Thompson,Hey There Delilah,0.359,0.225,4,-12.739,0,0.0586,0.958,0,0.13,0.461,176.451,226090
107,Gina Young,So-Called Str8 Grrrl,0.238,0.513,4,-11.355,1,0.0514,0.00167,0.000211,0.298,0.605,84.489,124653
108,Various Artists,And Then She Kissed Me,0.5,0.862,11,-7.508,1,0.0766,0.68,0,0.145,0.859,87.47,126533
109,Gossip,Where the Girls Are,0.63,0.915,11,-2.717,1,0.0591,0.146,0,0.137,0.836,140.247,104600
110,Frankie Cosmos,Sappho,0.644,0.401,7,-6.782,1,0.0403,0.174,0,0.132,0.459,95.354,112879
111,Julia Nunes,Make Out,0.769,0.643,1,-7.216,1,0.0397,0.547,0,0.0929,0.773,109.997,169413
112,The Internet,Girl,0.568,0.42,7,-11.169,0,0.276,0.536,0.124,0.101,0.453,79.89,415613
113,dodie,Sick of Losing Soulmates,0.478,0.241,2,-17.122,1,0.0386,0.716,0.216,0.354,0.11,75.285,267360
114,A Great Big World,Everyone Is Gay,0.528,0.814,9,-6.134,1,0.0645,0.0354,0,0.0631,0.432,149.183,130067
115,t.A.T.u.,All The Things She Said,0.603,0.834,5,-5.766,0,0.0417,0.0411,0.00609,0.105,0.376,89.956,214440
116,The Dollyrots,My Best Friend's Hot,0.578,0.867,9,-2.671,1,0.0369,0.000673,0.00016,0.128,0.637,143.966,190133
117,Various Artists,Rebel Girl,0.435,0.939,8,-3.845,0,0.111,0.0122,0.00466,0.0614,0.559,134.938,157333
118,Sofya Wang,Boys Aside,0.583,0.913,7,-5.945,1,0.0401,0.00205,0.000374,0.164,0.659,95.991,230000
119,girl in red,we fell in love in october,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,184154
120,girl in red,we fell in love in october,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,184154
121,Shura,Touch,0.731,0.662,9,-11.58,0,0.255,0.568,0.00102,0.22,0.432,89.927,214556
122,Shura,Touch,0.731,0.662,9,-11.58,0,0.255,0.568,0.00102,0.22,0.432,89.927,214556
123,Shura,Touch,0.731,0.662,9,-11.58,0,0.255,0.568,0.00102,0.22,0.432,89.927,214556
124,Shura,Touch,0.731,0.662,9,-11.58,0,0.255,0.568,0.00102,0.22,0.432,89.927,214556
125,Sixpence None The Richer,There She Goes,0.498,0.789,10,-5.724,1,0.0319,0.000856,5.83E-06,0.104,0.455,120.176,164280
126,Sixpence None The Richer,There She Goes,0.498,0.789,10,-5.724,1,0.0319,0.000856,5.83E-06,0.104,0.455,120.176,164280
127,Various Artists,Mad About the Girl,0.525,0.319,5,-9.431,0,0.0298,0.857,0.0194,0.179,0.314,72.052,191480
128,Various Artists,Mad About the Girl,0.525,0.319,5,-9.431,0,0.0298,0.857,0.0194,0.179,0.314,72.052,191480
129,Kina Grannis,Shut Up and Dance,0.692,0.162,1,-9.785,1,0.033,0.864,0,0.112,0.457,99.853,159010
130,Kina Grannis,Shut Up and Dance,0.692,0.162,1,-9.785,1,0.033,0.864,0,0.112,0.457,99.853,159010
131,Zolita,Come Home With Me,0.51,0.544,9,-8.482,0,0.0452,0.189,0,0.143,0.177,142.022,216972
132,Zolita,Come Home With Me,0.51,0.544,9,-8.482,0,0.0452,0.189,0,0.143,0.177,142.022,216972
133,GIRLI,Girl I Met On The Internet,0.606,0.71,0,-3.436,1,0.0433,0.00411,0,0.198,0.415,94.995,221866
134,Mary Lambert,Hang Out With You,0.806,0.646,11,-7.297,1,0.0319,0.288,0.00591,0.166,0.603,121.952,192973
135,Kina Grannis,Sweater Weather,0.726,0.297,11,-7.857,1,0.0349,0.884,0,0.104,0.176,114.967,213236
136,DEV,Lowkey,0.638,0.435,4,-11.47,0,0.0635,0.34,2.31E-05,0.102,0.201,140.005,228961
137,Dressy Bessy,If You Should Try To Kiss Her,0.421,0.746,0,-10.165,1,0.037,0.0371,0,0.0754,0.971,104.986,164267
138,Chelsea Lankes,Secret,0.667,0.838,0,-5.597,1,0.0707,0.00842,0.125,0.125,0.387,120.034,227524
139,Kadie Elder,First Time He Kissed a Boy,0.616,0.856,11,-4.901,0,0.0389,0.0238,0,0.598,0.63,107.013,187978
140,Gina Young,Punkrockdyke,0.416,0.32,0,-11.241,1,0.0343,0.869,0.000432,0.117,0.175,134.238,205667
141,Alyson Stoner,When It's Right,0.776,0.58,7,-6.11,1,0.0637,0.0654,3.71E-06,0.354,0.468,114.046,166316
142,Alyson Stoner,When It's Right,0.776,0.58,7,-6.11,1,0.0637,0.0654,3.71E-06,0.354,0.468,114.046,166316
143,Alyson Stoner,When It's Right,0.776,0.58,7,-6.11,1,0.0637,0.0654,3.71E-06,0.354,0.468,114.046,166316
144,Alyson Stoner,When It's Right,0.776,0.58,7,-6.11,1,0.0637,0.0654,3.71E-06,0.354,0.468,114.046,166316
145,MØ,Nights With You,0.763,0.671,1,-4.029,0,0.1,0.401,1.16E-05,0.375,0.602,120.06,197495
146,MØ,Nights With You,0.763,0.671,1,-4.029,0,0.1,0.401,1.16E-05,0.375,0.602,120.06,197495
147,Bets,Jenny (feat. Kiddo),0.64,0.621,10,-7.361,0,0.0316,0.287,0.00245,0.112,0.697,140.047,199467
148,Bets,Jenny (feat. Kiddo),0.64,0.621,10,-7.361,0,0.0316,0.287,0.00245,0.112,0.697,140.047,199467
149,Miki Ratsula,Radiant Warmth,0.643,0.228,11,-13.223,1,0.0333,0.707,0,0.12,0.326,109.531,285408
150,Miki Ratsula,Radiant Warmth,0.643,0.228,11,-13.223,1,0.0333,0.707,0,0.12,0.326,109.531,285408
151,King Princess,Femme Fatale - RISE Recording,0.4,0.455,5,-11.733,1,0.0392,0.188,1.45E-05,0.109,0.343,124.752,173227
152,King Princess,Femme Fatale - RISE Recording,0.4,0.455,5,-11.733,1,0.0392,0.188,1.45E-05,0.109,0.343,124.752,173227
153,MUNA,I Know A Place,0.685,0.9,5,-4.626,0,0.151,0.137,0,0.2,0.779,111.991,272813
154,MUNA,I Know A Place,0.685,0.9,5,-4.626,0,0.151,0.137,0,0.2,0.779,111.991,272813
155,The Butchies,The Galaxy Is Gay,0.505,0.918,1,-4.919,1,0.0624,0.0207,0,0.174,0.372,121.625,98640
156,The Butchies,The Galaxy Is Gay,0.505,0.918,1,-4.919,1,0.0624,0.0207,0,0.174,0.372,121.625,98640
157,Amandla Stenberg,Let My Baby Stay,0.542,0.357,10,-6.938,0,0.0365,0.334,0.258,0.0724,0.197,102.251,144933
158,Amandla Stenberg,Let My Baby Stay,0.542,0.357,10,-6.938,0,0.0365,0.334,0.258,0.0724,0.197,102.251,144933
159,Little Big Town,Girl Crush,0.5,0.225,0,-10.22,1,0.0302,0.842,0,0.112,0.355,173.788,193320
160,Little Big Town,Girl Crush,0.5,0.225,0,-10.22,1,0.0302,0.842,0,0.112,0.355,173.788,193320
161,Childbirth,Since When Are You Gay?,0.348,0.865,6,-5.758,1,0.0506,0.00714,0.487,0.117,0.416,151.988,171347
162,Childbirth,Since When Are You Gay?,0.348,0.865,6,-5.758,1,0.0506,0.00714,0.487,0.117,0.416,151.988,171347
163,Keiynan Lonsdale,Kiss The Boy,0.784,0.388,0,-9.146,1,0.0435,0.0899,0,0.159,0.455,139.927,261548
164,Ji Nilsson,Love You Anyway,0.634,0.543,6,-9.038,0,0.0791,0.366,0.000636,0.104,0.153,195.917,209388
165,dodie,Would You Be So Kind,0.662,0.614,4,-9.621,1,0.204,0.158,0.00019,0.126,0.616,160.068,180952
166,Jessica Manning,Kiss Me,0.498,0.124,4,-11.509,1,0.035,0.918,0,0.115,0.216,86.801,256667
167,Tribe 8,Butch In the Streets,0.253,0.82,9,-9.496,1,0.0478,3.81E-05,0.0472,0.274,0.517,174.693,122267
168,Various Artists,Queer for You,0.372,0.799,2,-8.162,1,0.0382,0.000708,0.917,0.0993,0.827,163.577,126880
169,Worriers,They / Them / Theirs,0.388,0.933,2,-4.924,1,0.0406,0.000102,0.465,0.325,0.635,89.924,138824
170,Tribe 8,Lezbophobia,0.366,0.748,11,-7.399,0,0.0425,0.0757,2.33E-05,0.142,0.962,144.986,163627
171,Onsind,Heterosexuality Is a Construct,0.572,0.527,3,-6.321,1,0.0511,0.335,0,0.285,0.359,145.378,212577
172,Dog Park Dissidents,Queer As in Fuck You,0.473,0.923,6,-12.253,1,0.0614,0.00611,0,0.164,0.381,179.975,128000
173,Against Me!,True Trans Soul Rebel,0.281,0.974,3,-3.81,1,0.131,7.41E-05,0.0225,0.344,0.237,167.589,192813
174,Schmekel,Genderqueer Love Song,0.553,0.575,7,-11.89,1,0.043,0.0971,0,0.131,0.766,143.617,154000
175,Pansy Division,That's So Gay,0.592,0.954,11,-7.861,0,0.0594,0.018,0,0.317,0.775,151.853,148271
176,Ally Hills,Space,0.353,0.709,6,-6.548,0,0.0526,0.0629,0.00154,0.0786,0.556,96.997,192995
177,cupcakKe,Lgbt,0.793,0.86,0,-8.663,0,0.172,0.169,1.73E-05,0.101,0.392,124.961,161332
178,Tribe 8,Wrong Bathroom,0.44,0.933,11,-4.947,1,0.181,0.0904,0,0.168,0.526,133.352,175867
179,Art Project,Gender Nightmare,0.606,0.849,9,-8.714,1,0.0409,0.613,0.000167,0.0937,0.546,120.017,173865
180,Pansy Division,Fem in a Black Leather Jacket,0.533,0.85,7,-6.507,1,0.0477,0.408,0.000159,0.112,0.826,150.403,124317
181,The Mourning Sickness,Gender Trouble,0.643,0.674,11,-8.316,0,0.0344,0.000521,0.00391,0.062,0.688,108.276,280413
182,Team Dresch,Fagetarian and Dyke,0.253,0.976,0,-6.949,1,0.0763,0.0115,0.773,0.0985,0.388,100.31,165560
183,She/Her/hers,Gender Is Boring,0.634,0.456,7,-5.6,1,0.0529,0.812,0,0.113,0.35,108.411,187164
184,Ste McCabe,Queer Clubbing,0.634,0.997,0,-6.371,1,0.0914,0.0914,2.60E-05,0.385,0.11,156.363,120107
185,Skin Jobs,Gender Bender,0.274,0.91,11,-6.486,1,0.0667,0.000595,1.41E-05,0.638,0.218,137.22,352707
186,Sleater-Kinney,I Wanna Be Your Joey Ramone - Live,0.349,0.986,6,-3.071,1,0.109,0.0106,0,0.822,0.364,145.114,155613
187,GRLwood,Bisexual,0.596,0.927,11,-6.241,0,0.0727,0.0142,0.00913,0.0665,0.641,132.984,120341
188,The Spook School,Binary,0.272,0.893,0,-7.704,1,0.0589,0.0443,0.00881,0.588,0.51,151.099,195080
189,Schmekel,FTM at the DMV,0.585,0.753,0,-14.332,1,0.105,0.0902,3.02E-05,0.136,0.897,149.601,77125
190,Jake Edwards,Second Puberty,0.47,0.149,0,-16.98,1,0.0498,0.924,0,0.11,0.373,135.254,225128
191,She/Her/hers,Nvr Pass,0.463,0.419,4,-6.966,1,0.0327,0.164,2.50E-05,0.0853,0.71,85.803,230350
192,Human Kitten,Gender Bronoun,0.589,0.286,7,-10.576,1,0.0639,0.622,0,0.151,0.52,118.492,97097
193,G.L.O.S.S.,G.L.O.S.S. (We're from the Future),0.17,0.875,9,-6.848,1,0.109,3.35E-05,0.126,0.329,0.5,89.229,91250
194,Various Artists,Daughterson,0.626,0.221,0,-21.322,1,0.0618,0.762,0,0.611,0.784,120.933,221180
195,Size Of Sadness,Trans Punx (no bullshit),0.447,0.705,8,-9.678,1,0.0701,0.000107,0.00209,0.147,0.925,179.926,133108
196,Tribe 8,Femme Bitch Top,0.426,0.714,2,-8.573,1,0.0499,0.00881,0.000675,0.293,0.689,78.804,210133
197,Athens Boys Choir,Fagette,0.74,0.695,10,-5.685,0,0.374,0.014,0,0.198,0.694,193.861,199027
198,Skylar Kergil,Tell Me a Story,0.605,0.348,4,-11.069,1,0.0325,0.719,1.15E-06,0.107,0.22,99.242,171053
199,The Spook School,Burn Masculinity,0.387,0.728,11,-6.093,1,0.0364,0.0148,0,0.235,0.368,166.368,122947
200,Wrabel,The Village,0.55,0.363,5,-7.326,1,0.0336,0.534,0,0.128,0.286,121.94,230293
201,Various Artists,they/them,0.698,0.494,11,-8.113,1,0.458,0.723,0,0.107,0.369,79.127,104865
202,Dani Shay,Girl or Boy (Live),0.552,0.125,1,-12.781,0,0.121,0.97,7.27E-06,0.101,0.507,173.455,167721
203,Ryan Cassata,Daughter,0.746,0.59,0,-8.526,1,0.0276,0.111,0,0.0884,0.705,91.958,180326
204,Benny,Little Game,0.606,0.54,1,-5.485,0,0.0412,0.0754,0,0.11,0.296,129.934,238534
205,Jake Edwards,You Can't Tell Me (I'm Not a Man) - 2019 Remaster,0.476,0.698,5,-7.61,1,0.0387,0.349,0.0312,0.132,0.256,112.959,267173
206,Marissa Kay,Trans Is Love,0.5,0.646,9,-10.894,1,0.0408,0.0137,0,0.207,0.693,169.904,218523
207,Various Artists,A Guy Named Joe,0.401,0.0341,0,-32.46,1,0.0374,0.936,0.000319,0.643,0.294,151.574,401268
208,Saint Wellesley,Dysphoria,0.439,0.0484,7,-18.169,1,0.0622,0.81,0,0.241,0.432,83.919,160899
209,Schmekel,New Men With Old Man Names,0.528,0.621,9,-12.141,0,0.137,0.038,0,0.253,0.69,153.857,290000
210,Mother Mother,Body,0.596,0.633,10,-3.602,0,0.0594,0.131,0,0.343,0.473,148.09,213573
211,Dyke Drama,Cis Girls,0.474,0.804,8,-4.539,1,0.0396,0.0043,0.00076,0.207,0.902,117.513,146488
212,Shawna Virago,Gender Armageddon,0.718,0.229,3,-12.742,1,0.0391,0.777,0,0.153,0.355,117.957,203996
213,7 Year Bitch,Dead Men Don't Rape,0.349,0.709,9,-12.339,0,0.0336,9.03E-06,0.0095,0.147,0.708,114.581,167333
214,G.L.O.S.S.,Lined Lips and Spiked Bats,0.288,0.872,9,-6.769,1,0.0408,1.59E-06,0.928,0.618,0.683,93.791,85625
215,Against Me!,Black Me Out,0.428,0.909,4,-3.997,1,0.035,0.0239,0,0.136,0.576,107.6,187253
